Generation 0: Best Cost 328, Current Cost 328
Generation 1: Best Cost 328, Current Cost 331
Generation 2: Best Cost 316, Current Cost 316
Generation 3: Best Cost 270, Current Cost 270
Generation 4: Best Cost 252, Current Cost 252
Generation 5: Best Cost 252, Current Cost 269
Generation 6: Best Cost 252, Current Cost 280
Generation 7: Best Cost 252, Current Cost 254
Generation 8: Best Cost 202, Current Cost 202
Generation 9: Best Cost 202, Current Cost 245
Generation 10: Best Cost 195, Current Cost 195
Generation 11: Best Cost 151, Current Cost 151
Generation 12: Best Cost 151, Current Cost 201
Generation 13: Best Cost 151, Current Cost 213
Generation 14: Best Cost 151, Current Cost 163
Generation 15: Best Cost 151, Current Cost 171
Generation 16: Best Cost 151, Current Cost 175
Generation 17: Best Cost 151, Current Cost 172
Generation 18: Best Cost 151, Current Cost 165
Generation 19: Best Cost 128, Current Cost 128
Generation 20: Best Cost 125, Current Cost 125
Generation 21: Best Cost 125, Current Cost 139
Generation 22: Best Cost 125, Current Cost 180
Generation 23: Best Cost 125, Current Cost 161
Generation 24: Best Cost 125, Current Cost 134
Generation 25: Best Cost 125, Current Cost 146
Generation 26: Best Cost 125, Current Cost 142
Generation 27: Best Cost 120, Current Cost 120
Generation 28: Best Cost 120, Current Cost 141
Generation 29: Best Cost 120, Current Cost 127
Generation 30: Best Cost 118, Current Cost 118
Generation 31: Best Cost 110, Current Cost 110
Generation 32: Best Cost 110, Current Cost 126
Generation 33: Best Cost 104, Current Cost 104
Generation 34: Best Cost 94, Current Cost 94
Generation 35: Best Cost 94, Current Cost 123
Generation 36: Best Cost 64, Current Cost 64
Generation 37: Best Cost 64, Current Cost 113
Generation 38: Best Cost 64, Current Cost 108
Generation 39: Best Cost 64, Current Cost 94
Generation 40: Best Cost 64, Current Cost 93
Generation 41: Best Cost 64, Current Cost 106
Generation 42: Best Cost 64, Current Cost 88
Generation 43: Best Cost 64, Current Cost 109
Generation 44: Best Cost 64, Current Cost 96
Generation 45: Best Cost 64, Current Cost 98
Generation 46: Best Cost 64, Current Cost 90
Generation 47: Best Cost 64, Current Cost 91
Generation 48: Best Cost 64, Current Cost 82
Generation 49: Best Cost 64, Current Cost 96
Generation 50: Best Cost 64, Current Cost 93
Generation 51: Best Cost 64, Current Cost 79
Generation 52: Best Cost 38, Current Cost 38
Generation 53: Best Cost 38, Current Cost 85
Generation 54: Best Cost 38, Current Cost 72
Generation 55: Best Cost 27, Current Cost 27
Generation 56: Best Cost 27, Current Cost 85
Generation 57: Best Cost 27, Current Cost 78
Generation 58: Best Cost 27, Current Cost 64
Generation 59: Best Cost 27, Current Cost 73
Generation 60: Best Cost 27, Current Cost 50
Generation 61: Best Cost 27, Current Cost 96
Generation 62: Best Cost 27, Current Cost 88
Generation 63: Best Cost 27, Current Cost 54
Generation 64: Best Cost 27, Current Cost 107
Generation 65: Best Cost 27, Current Cost 83
Generation 66: Best Cost 27, Current Cost 57
Generation 67: Best Cost 27, Current Cost 58
Generation 68: Best Cost 27, Current Cost 80
Generation 69: Best Cost 27, Current Cost 52
Generation 70: Best Cost 27, Current Cost 93
Generation 71: Best Cost 27, Current Cost 93
Generation 72: Best Cost 27, Current Cost 74
Generation 73: Best Cost 27, Current Cost 88
Generation 74: Best Cost 27, Current Cost 96
Generation 75: Best Cost 27, Current Cost 91
Generation 76: Best Cost 27, Current Cost 76
Generation 77: Best Cost 27, Current Cost 94
Generation 78: Best Cost 27, Current Cost 76
Generation 79: Best Cost 27, Current Cost 91
Generation 80: Best Cost 27, Current Cost 82
Generation 81: Best Cost 27, Current Cost 89
Generation 82: Best Cost 27, Current Cost 87
Generation 83: Best Cost 27, Current Cost 76
